filename, language, JSON, Markdown, C++, Python, CMake, C, GLSL, Properties, comment, blank, total
d:\Coding\SakuraEngine\SPA\include\modulemanager.h, C++, 0, 0, 112, 0, 0, 0, 0, 0, 26, 10, 148
d:\Coding\SakuraEngine\SPA\include\sharedlibrary.h, C++, 0, 0, 171, 0, 0, 0, 0, 0, 100, 20, 291
d:\Coding\SakuraEngine\SPA\src\modulemanager.cpp, C++, 0, 0, 236, 0, 0, 0, 0, 0, 16, 15, 267
d:\Coding\SakuraEngine\SakuraEngine\Applications\ApplicationModule.cpp, C++, 0, 0, 14, 0, 0, 0, 0, 0, 9, 3, 26
d:\Coding\SakuraEngine\SakuraEngine\Applications\ApplicationModule.h, C++, 0, 0, 11, 0, 0, 0, 0, 0, 9, 1, 21
d:\Coding\SakuraEngine\SakuraEngine\Applications\Linux\LinuxEngine.cc, C++, 0, 0, 49, 0, 0, 0, 0, 0, 9, 8, 66
d:\Coding\SakuraEngine\SakuraEngine\Applications\Linux\LinuxEngine.h, C++, 0, 0, 16, 0, 0, 0, 0, 0, 9, 2, 27
d:\Coding\SakuraEngine\SakuraEngine\Applications\Linux\LinuxWindow.cc, C++, 0, 0, 74, 0, 0, 0, 0, 0, 15, 11, 100
d:\Coding\SakuraEngine\SakuraEngine\Applications\Linux\LinuxWindow.h, C++, 0, 0, 38, 0, 0, 0, 0, 0, 10, 2, 50
d:\Coding\SakuraEngine\SakuraEngine\Applications\Win32\Win32Engine.cpp, C++, 0, 0, 60, 0, 0, 0, 0, 0, 9, 6, 75
d:\Coding\SakuraEngine\SakuraEngine\Applications\Win32\Win32Engine.h, C++, 0, 0, 30, 0, 0, 0, 0, 0, 26, 2, 58
d:\Coding\SakuraEngine\SakuraEngine\Applications\Win32\Win32Window.cpp, C++, 0, 0, 105, 0, 0, 0, 0, 0, 30, 19, 154
d:\Coding\SakuraEngine\SakuraEngine\Applications\Win32\Win32Window.h, C++, 0, 0, 33, 0, 0, 0, 0, 0, 10, 2, 45
d:\Coding\SakuraEngine\SakuraEngine\Applications\meta.h, C++, 0, 0, 41, 0, 0, 0, 0, 0, 3, 4, 48
d:\Coding\SakuraEngine\SakuraEngine\Applications\meta.json, JSON, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
d:\Coding\SakuraEngine\SakuraEngine\Core\Containers\Containers.h, C++, 0, 0, 5, 0, 0, 0, 0, 0, 9, 0, 14
d:\Coding\SakuraEngine\SakuraEngine\Core\Containers\SMap.h, C++, 0, 0, 61, 0, 0, 0, 0, 0, 14, 8, 83
d:\Coding\SakuraEngine\SakuraEngine\Core\Containers\SString.h, C++, 0, 0, 48, 0, 0, 0, 0, 0, 24, 4, 76
d:\Coding\SakuraEngine\SakuraEngine\Core\Containers\SVariant.h, C++, 0, 0, 46, 0, 0, 0, 0, 0, 9, 5, 60
d:\Coding\SakuraEngine\SakuraEngine\Core\Containers\SVector.h, C++, 0, 0, 18, 0, 0, 0, 0, 0, 9, 5, 32
d:\Coding\SakuraEngine\SakuraEngine\Core\Core.cpp, C++, 0, 0, 1, 0, 0, 0, 0, 0, 9, 0, 10
d:\Coding\SakuraEngine\SakuraEngine\Core\Core.h, C++, 0, 0, 5, 0, 0, 0, 0, 0, 9, 1, 15
d:\Coding\SakuraEngine\SakuraEngine\Core\CoreMinimal\CoreMinimal.h, C++, 0, 0, 15, 0, 0, 0, 0, 0, 13, 2, 30
d:\Coding\SakuraEngine\SakuraEngine\Core\CoreMinimal\SAssert.h, C++, 0, 0, 22, 0, 0, 0, 0, 0, 9, 6, 37
d:\Coding\SakuraEngine\SakuraEngine\Core\CoreMinimal\SDefination.h, C++, 0, 0, 80, 0, 0, 0, 0, 0, 17, 7, 104
d:\Coding\SakuraEngine\SakuraEngine\Core\CoreMinimal\SFlags.h, C++, 0, 0, 17, 0, 0, 0, 0, 0, 9, 2, 28
d:\Coding\SakuraEngine\SakuraEngine\Core\CoreMinimal\SInterface.h, C++, 0, 0, 10, 0, 0, 0, 0, 0, 16, 4, 30
d:\Coding\SakuraEngine\SakuraEngine\Core\CoreMinimal\SKeyWords.h, C++, 0, 0, 46, 0, 0, 0, 0, 0, 9, 5, 60
d:\Coding\SakuraEngine\SakuraEngine\Core\CoreMinimal\SLinuxDefination.h, C++, 0, 0, 4, 0, 0, 0, 0, 0, 9, 0, 13
d:\Coding\SakuraEngine\SakuraEngine\Core\CoreMinimal\SMacDefination.h, C++, 0, 0, 4, 0, 0, 0, 0, 0, 9, 0, 13
d:\Coding\SakuraEngine\SakuraEngine\Core\CoreMinimal\SUUID.h, C++, 0, 0, 8, 0, 0, 0, 0, 0, 9, 1, 18
d:\Coding\SakuraEngine\SakuraEngine\Core\CoreMinimal\SWinDefination.h, C++, 0, 0, 7, 0, 0, 0, 0, 0, 11, 5, 23
d:\Coding\SakuraEngine\SakuraEngine\Core\CoreModule.cpp, C++, 0, 0, 14, 0, 0, 0, 0, 0, 9, 3, 26
d:\Coding\SakuraEngine\SakuraEngine\Core\CoreModule.h, C++, 0, 0, 12, 0, 0, 0, 0, 0, 9, 1, 22
d:\Coding\SakuraEngine\SakuraEngine\Core\EngineUtils\Common\T2String.cc, C++, 0, 0, 174, 0, 0, 0, 0, 0, 10, 24, 208
d:\Coding\SakuraEngine\SakuraEngine\Core\EngineUtils\ConsoleDesk.h, C++, 0, 0, 6, 0, 0, 0, 0, 0, 10, 4, 20
d:\Coding\SakuraEngine\SakuraEngine\Core\EngineUtils\EngineUtils.h, C++, 0, 0, 10, 0, 0, 0, 0, 0, 9, 0, 19
d:\Coding\SakuraEngine\SakuraEngine\Core\EngineUtils\SHash.h, C++, 0, 0, 21, 0, 0, 0, 0, 0, 26, 4, 51
d:\Coding\SakuraEngine\SakuraEngine\Core\EngineUtils\T2String.h, C++, 0, 0, 25, 0, 0, 0, 0, 0, 57, 9, 91
d:\Coding\SakuraEngine\SakuraEngine\Core\EngineUtils\Unix\fs.cc, C++, 0, 0, 141, 0, 0, 0, 0, 0, 13, 25, 179
d:\Coding\SakuraEngine\SakuraEngine\Core\EngineUtils\Unix\os.cc, C++, 0, 0, 51, 0, 0, 0, 0, 0, 9, 8, 68
d:\Coding\SakuraEngine\SakuraEngine\Core\EngineUtils\Unix\time.cc, C++, 0, 0, 52, 0, 0, 0, 0, 0, 8, 7, 67
d:\Coding\SakuraEngine\SakuraEngine\Core\EngineUtils\Win32\fs.cpp, C++, 0, 0, 150, 0, 0, 0, 0, 0, 4, 25, 179
d:\Coding\SakuraEngine\SakuraEngine\Core\EngineUtils\Win32\os.cpp, C++, 0, 0, 48, 0, 0, 0, 0, 0, 0, 12, 60
d:\Coding\SakuraEngine\SakuraEngine\Core\EngineUtils\Win32\time.cpp, C++, 0, 0, 48, 0, 0, 0, 0, 0, 8, 11, 67
d:\Coding\SakuraEngine\SakuraEngine\Core\EngineUtils\fs.h, C++, 0, 0, 166, 0, 0, 0, 0, 0, 15, 52, 233
d:\Coding\SakuraEngine\SakuraEngine\Core\EngineUtils\log.h, C++, 0, 0, 218, 0, 0, 0, 0, 0, 9, 13, 240
d:\Coding\SakuraEngine\SakuraEngine\Core\EngineUtils\os.h, C++, 0, 0, 15, 0, 0, 0, 0, 0, 51, 8, 74
d:\Coding\SakuraEngine\SakuraEngine\Core\EngineUtils\path.h, C++, 0, 0, 127, 0, 0, 0, 0, 0, 21, 15, 163
d:\Coding\SakuraEngine\SakuraEngine\Core\EngineUtils\sstream.h, C++, 0, 0, 199, 0, 0, 0, 0, 0, 1, 48, 248
d:\Coding\SakuraEngine\SakuraEngine\Core\EngineUtils\time.h, C++, 0, 0, 33, 0, 0, 0, 0, 0, 13, 3, 49
d:\Coding\SakuraEngine\SakuraEngine\Core\Math\Color.h, C++, 0, 0, 15, 0, 0, 0, 0, 0, 9, 5, 29
d:\Coding\SakuraEngine\SakuraEngine\Core\Math\GeoMath\GeoMath.h, C++, 0, 0, 5, 0, 0, 0, 0, 0, 9, 1, 15
d:\Coding\SakuraEngine\SakuraEngine\Core\Math\GeoMath\Half.h, C++, 0, 0, 7, 0, 0, 0, 0, 0, 11, 2, 20
d:\Coding\SakuraEngine\SakuraEngine\Core\Math\GeoMath\Matrix.h, C++, 0, 0, 26, 0, 0, 0, 0, 0, 9, 6, 41
d:\Coding\SakuraEngine\SakuraEngine\Core\Math\GeoMath\Transform.h, C++, 0, 0, 20, 0, 0, 0, 0, 0, 9, 6, 35
d:\Coding\SakuraEngine\SakuraEngine\Core\Math\GeoMath\Vector.h, C++, 0, 0, 56, 0, 0, 0, 0, 0, 9, 14, 79
d:\Coding\SakuraEngine\SakuraEngine\Core\Math\Math.h, C++, 0, 0, 3, 0, 0, 0, 0, 0, 9, 0, 12
d:\Coding\SakuraEngine\SakuraEngine\Core\README.en-US.md, Markdown, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
d:\Coding\SakuraEngine\SakuraEngine\Core\README.md, Markdown, 0, 46, 0, 0, 0, 0, 0, 0, 9, 17, 72
d:\Coding\SakuraEngine\SakuraEngine\Core\meta.h, C++, 0, 0, 37, 0, 0, 0, 0, 0, 3, 4, 44
d:\Coding\SakuraEngine\SakuraEngine\Core\meta.json, JSON, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
d:\Coding\SakuraEngine\SakuraEngine\Editor\EditorModule.cpp, C++, 0, 0, 23, 0, 0, 0, 0, 0, 9, 4, 36
d:\Coding\SakuraEngine\SakuraEngine\Editor\EditorModule.h, C++, 0, 0, 12, 0, 0, 0, 0, 0, 9, 1, 22
d:\Coding\SakuraEngine\SakuraEngine\Editor\Linux\Execute\LinuxExecute.cpp, C++, 0, 0, 19, 0, 0, 0, 0, 0, 9, 1, 29
d:\Coding\SakuraEngine\SakuraEngine\Editor\Linux\LinuxEditor.cpp, C++, 0, 0, 5, 0, 0, 0, 0, 0, 9, 1, 15
d:\Coding\SakuraEngine\SakuraEngine\Editor\Linux\LinuxEditor.h, C++, 0, 0, 6, 0, 0, 0, 0, 0, 9, 1, 16
d:\Coding\SakuraEngine\SakuraEngine\Editor\Win32\Execute\Win32Execute.cpp, C++, 0, 0, 20, 0, 0, 0, 0, 0, 9, 1, 30
d:\Coding\SakuraEngine\SakuraEngine\Editor\Win32\Win32Editor.cpp, C++, 0, 0, 5, 0, 0, 0, 0, 0, 9, 1, 15
d:\Coding\SakuraEngine\SakuraEngine\Editor\Win32\Win32Editor.h, C++, 0, 0, 6, 0, 0, 0, 0, 0, 9, 1, 16
d:\Coding\SakuraEngine\SakuraEngine\Editor\mainmeta.json, JSON, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
d:\Coding\SakuraEngine\SakuraEngine\Editor\meta.h, C++, 0, 0, 53, 0, 0, 0, 0, 0, 3, 4, 60
d:\Coding\SakuraEngine\SakuraEngine\Framework\Application\SApplication.h, C++, 0, 0, 13, 0, 0, 0, 0, 0, 9, 1, 23
d:\Coding\SakuraEngine\SakuraEngine\Framework\Application\SEngine.h, C++, 0, 0, 29, 0, 0, 0, 0, 0, 27, 4, 60
d:\Coding\SakuraEngine\SakuraEngine\Framework\Application\SWindow.h, C++, 0, 0, 42, 0, 0, 0, 0, 0, 17, 5, 64
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGDModule.cpp, C++, 0, 0, 14, 0, 0, 0, 0, 0, 26, 3, 43
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGDModule.h, C++, 0, 0, 11, 0, 0, 0, 0, 0, 26, 1, 38
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD\CGD.cpp, C++, 0, 0, 31, 0, 0, 0, 0, 0, 26, 4, 61
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD\CGDExport.h, C++, 0, 0, 3, 0, 0, 0, 0, 0, 9, 2, 14
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD\CommandContext.cpp, C++, 0, 0, 27, 0, 0, 0, 0, 0, 26, 3, 56
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD\GpuTimer.cpp, C++, 0, 0, 44, 0, 0, 0, 0, 0, 9, 10, 63
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD\Profiling.cpp, C++, 0, 0, 26, 0, 0, 0, 0, 0, 9, 5, 40
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD_Direct3D12\CGD_Direct3D12.cpp, C++, 0, 0, 17, 0, 0, 0, 0, 0, 9, 5, 31
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD_Direct3D12\CGD_Direct3D12.h, C++, 0, 0, 14, 0, 0, 0, 0, 0, 9, 0, 23
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD_Direct3D12\CommandContext_Dx12.cpp, C++, 0, 0, 5, 0, 0, 0, 0, 0, 9, 2, 16
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD_Vulkan\CGD_Vulkan.cpp, C++, 0, 0, 268, 0, 0, 0, 0, 0, 27, 23, 318
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD_Vulkan\CGD_Vulkan.h, C++, 0, 0, 79, 0, 0, 0, 0, 0, 36, 9, 124
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD_Vulkan\CommandContext_Vk.cpp, C++, 0, 0, 11, 0, 0, 0, 0, 0, 9, 2, 22
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD_Vulkan\CommandContext_Vk.h, C++, 0, 0, 11, 0, 0, 0, 0, 0, 9, 3, 23
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\CGD_Vulkan\Vulkan_FormatTransfer.h, C++, 0, 0, 15, 0, 0, 0, 0, 0, 9, 2, 26
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\GraphicsCommon\CGD.h, C++, 0, 0, 43, 0, 0, 0, 0, 0, 26, 1, 70
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\GraphicsCommon\CommandObjects\CommandContext.h, C++, 0, 0, 53, 0, 0, 0, 0, 0, 27, 7, 87
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\GraphicsCommon\CommandObjects\Profiling.h, C++, 0, 0, 24, 0, 0, 0, 0, 0, 9, 3, 36
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\GraphicsCommon\Format\CommonFeatures.h, C++, 0, 0, 11, 0, 0, 0, 0, 0, 26, 2, 39
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\GraphicsCommon\Format\PixelFormat.h, C++, 0, 0, 337, 0, 0, 0, 0, 0, 14, 1, 352
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\GraphicsCommon\GpuTimer.h, C++, 0, 0, 18, 0, 0, 0, 0, 0, 39, 7, 64
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\meta.h, C++, 0, 0, 37, 0, 0, 0, 0, 0, 3, 4, 44
d:\Coding\SakuraEngine\SakuraEngine\Modules\GraphicsInterface\meta.json, JSON, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
d:\Coding\SakuraEngine\SakuraEngine\UnitTests\UnitTestApplication\UnitTestApplication.cpp, C++, 0, 0, 15, 0, 0, 0, 0, 0, 26, 2, 43
d:\Coding\SakuraEngine\SakuraEngine\UnitTests\UnitTestApplication\UnitTestWinApp.cpp, C++, 0, 0, 11, 0, 0, 0, 0, 0, 26, 2, 39
d:\Coding\SakuraEngine\SakuraEngine\UnitTests\UnitTestCore\UnitTestCore.cpp, C++, 0, 0, 84, 0, 0, 0, 0, 0, 10, 12, 106
d:\Coding\SakuraEngine\SakuraEngine\UnitTests\UnitTestCore\UnitTestCoreUtils.cpp, C++, 0, 0, 49, 0, 0, 0, 0, 0, 29, 11, 89
d:\Coding\SakuraEngine\SakuraEngine\UnitTests\UnitTestGraphics\SDLHello.cpp, C++, 0, 0, 8, 0, 0, 0, 0, 0, 9, 1, 18
d:\Coding\SakuraEngine\SakuraEngine\UnitTests\UnitTestGraphics\UnitTestGraphics.cpp, C++, 0, 0, 42, 0, 0, 0, 0, 0, 8, 6, 56
d:\Coding\SakuraEngine\SakuraEngine\UnitTests\UnitTestGraphics\VkTestApplication.h, C++, 0, 0, 62, 0, 0, 0, 0, 0, 26, 8, 96
d:\Coding\SakuraEngine\SakuraEngine\UnitTests\UnitTestGraphics\VkTriangle.cpp, C++, 0, 0, 716, 0, 0, 0, 0, 0, 0, 195, 911
d:\Coding\SakuraEngine\SakuraEngine\UnitTests\UnitTestGraphics\shader.frag, GLSL, 0, 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
d:\Coding\SakuraEngine\SakuraEngine\UnitTests\UnitTestGraphics\shader.vert, GLSL, 0, 0, 0, 0, 0, 0, 17, 0, 0, 4, 21
d:\Coding\SakuraEngine\cmake\TargetArchDetect.cmake, CMake, 0, 0, 0, 0, 116, 0, 0, 0, 0, 17, 133
Total, -, 121, 1080, 15193, 160, 116, 2589, 24, 16, 8161, 3304, 30764
